	2015 week: 1	2015 week: 2	2015 week: 3	2015 week: 4	2015 week: 5	2015 week: 6	2015 week: 7	2015 week: 8	2015 week: 9	2015 week: 10	2015 week: 11	2015 week: 12	2015 week: 13	2015 week: 14	2015 week: 15	2015 week: 16	2015 week: 17	2015 week: 18	2015 week: 19	2015 week: 20	2015 week: 21	2015 week: 22	2015 week: 23	2015 week: 24	2015 week: 25	2015 week: 26	2015 week: 27	2015 week: 28	2015 week: 29	2015 week: 30	2015 week: 31	2015 week: 32	2015 week: 33	2015 week: 34	2015 week: 35	2015 week: 36	2015 week: 37	2015 week: 38	2015 week: 39	2015 week: 40	2015 week: 41	2015 week: 42	2015 week: 43	2015 week: 44	2015 week: 45	2015 week: 46	2015 week: 47	2015 week: 48	2015 week: 49	2015 week: 50	2015 week: 51	2015 week: 52	2015 week: 53
New Zealand	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	7	8	8	11	28	50	63	83	209	278	388	441	442	507	479	477	422	427	288	304	173	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Nicaragua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Nigeria	0	0	0	0	0	0	2	6	3	0	2	0	3	4	4	0	0	1	5	6	5	5	0	11	5	2	7	2	1	3	4	6	0	4	5	4	1	0	0	0	0	0	0	0	1	3	4	0	2	0	4	0	 
Norway	539	481	668	1027	1317	1855	1803	1758	1277	1169	915	679	396	412	315	235	177	195	108	91	65	51	32	25	20	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Oman	13	10	17	16	25	21	22	19	24	46	60	78	70	86	59	52	51	38	36	36	16	18	15	11	8	3	3	5	5	6	6	 	1	3	2	7	1	1	17	22	19	31	18	19	40	42	49	34	64	75	94	144	 
Pakistan	5	6	1	7	0	8	7	2	4	9	4	2	7	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	0	0	2	3	5	13	23	16	3	10	 
Panama	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Paraguay	3	1	3	4	1	2	5	0	3	5	2	1	0	2	0	1	1	5	15	14	18	65	117	118	117	100	104	73	42	44	31	29	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Peru	0	0	1	1	0	3	0	8	2	1	22	9	2	7	3	19	9	21	33	25	34	19	21	17	12	16	31	24	16	7	3	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Philippines	7	10	9	8	13	5	6	2	0	5	5	3	1	1	1	0	1	1	0	2	5	0	1	4	2	1	12	13	3	11	6	3	6	4	1	2	2	1	1	2	1	0	0	1	0	1	0	0	0	1	 	 	 
Poland	0	3	3	9	14	50	64	69	67	56	40	38	20	 	12	15	6	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	1	4	0	3	 
Portugal	106	142	184	159	142	107	89	82	51	27	14	19	5	5	2	1	2	3	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Qatar	70	49	56	52	70	108	101	106	79	73	63	33	23	35	32	34	10	30	29	25	13	18	19	9	18	9	8	5	8	2	7	1	2	12	11	16	18	19	41	35	85	142	222	287	576	493	384	315	332	275	260	 	 
Republic of Korea	37	57	71	96	101	144	122	113	106	124	138	97	110	93	65	47	20	12	9	4	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	2	1	1	0	0	1	5	8	12	 
Republic of Moldova	0	3	2	5	10	24	33	43	28	18	20	12	18	6	1	4	0	2	1	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Romania	1	1	16	27	40	58	65	74	78	73	55	58	28	20	9	5	4	2	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	 
Russian Federation	25	226	433	622	875	1137	1321	1150	1067	895	911	583	439	326	248	160	117	61	57	18	27	10	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	9	0	 
Rwanda	0	2	1	0	0	0	0	0	3	1	2	3	5	0	2	 	 	 	 	2	1	0	1	0	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 
Senegal	0	1	5	14	22	31	34	33	33	23	12	6	2	10	9	4	4	2	4	2	8	6	11	2	4	7	8	12	10	8	9	3	10	11	23	21	26	29	17	20	38	20	11	5	2	3	1	2	2	0	0	0	 
Serbia	0	2	11	22	26	51	28	67	40	58	38	30	23	13	11	5	2	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Singapore	13	9	15	6	14	13	3	14	10	5	7	7	9	8	15	20	13	15	22	27	43	39	51	71	86	28	43	16	14	13	9	7	3	5	4	1	6	10	4	6	3	4	5	9	2	7	5	10	4	15	3	5	 
Slovakia	2	0	2	9	19	17	53	49	23	14	17	6	4	1	1	0	0	1	0	0	0	0	0	0	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Slovenia	52	79	93	82	50	60	60	32	26	48	52	61	35	35	36	13	6	4	3	3	1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
South Africa	0	5	0	2	0	2	1	3	0	2	3	2	3	1	6	2	9	12	21	61	62	91	72	126	76	86	49	28	19	11	5	11	11	15	13	14	4	9	4	5	6	6	1	3	0	2	0	4	2	1	0	0	 
Spain	272	627	850	1045	1151	1320	1293	904	578	335	191	119	57	19	20	16	8	2	1	3	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	 
Sri Lanka	5	5	9	5	4	9	1	6	9	23	13	16	10	12	2	9	15	23	39	54	100	105	197	161	137	89	52	23	26	15	11	 	2	1	0	0	2	 	1	7	15	11	42	20	21	25	24	20	14	21	22	13	 
Sweden	176	256	280	442	631	978	1154	1113	1103	895	642	648	612	561	348	272	165	121	47	30	12	7	8	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Switzerland	137	263	207	570	949	530	1128	967	453	358	206	65	62	65	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Thailand	4	1	6	2	7	10	2	9	7	9	5	4	9	5	0	8	5	0	7	8	2	3	7	3	16	3	4	2	7	5	2	6	9	6	5	7	8	13	9	9	11	3	3	5	21	9	9	4	4	0	3	0	 
Togo	1	1	1	2	4	2	1	1	3	0	2	1	0	0	2	5	6	1	1	3	2	0	6	9	3	5	2	0	1	2	3	0	2	1	2	0	0	1	0	3	5	2	6	2	3	6	10	5	6	5	1	1	 
